Main-related Command Support List;;
Code;Means;'TX-NR609
"EXIT";Exit Key;Yes
"AUDIO";Audio Adjust Key;No
"VIDEO";Video Adjust Key;No
"HOME";Home Key;Yes
"MEM" - Memory Setup Command ;;
"STR";stores memory ;Yes
"RCL";recalls memory;Yes
"LOCK";locks memory ;Yes
"UNLK";unlocks memory;Yes
"IFA" - Audio Infomation Command;;
"nnnnn:nnnnn";'Infomation of Audio(Same Immediate Display '','' is separator of infomations)';Yes
"QSTN";gets Infomation of Audio;Yes
when you send "DIF02", receiver will return this response.;;
"IFV" - Video Infomation Command;;
"nnnnn:nnnnn";'infomation of Video(Same Immediate Display '','' is separator of infomations)';Yes
"QSTN";gets Infomation of Video;Yes
when you send "DIF03", receiver will return this response.;;
"SLI" - Input Selector Command ;;
"00";sets VIDEO1    VCR/DVR;Yes
"01";sets VIDEO2    CBL/SAT;Yes
"02";sets VIDEO3    GAME/TV    GAME;Yes
"03";sets VIDEO4    AUX1(AUX);Yes
"04";sets VIDEO5    AUX2;No
"05";sets VIDEO6    PC;Yes
"06";sets VIDEO7;No
"07";Hidden1;No
"08";Hidden2;No
"09";Hidden3;No
"10";sets DVD          BD/DVD;Yes
"20";sets TAPE(1)    TV/TAPE;No
"21";sets TAPE2;No
"22";sets PHONO;No
"23";sets CD    TV/CD;Yes
"24";sets FM;Yes
"25";sets AM;Yes
“26”;sets TUNER;Yes
"27";sets MUSIC SERVER    P4S   DLNA*2;Yes*2
"28";sets INTERNET RADIO           iRadio Favorite*3;Yes*3
"29";sets USB/USB(Front);Yes
"2A";sets USB(Rear);No
"2B";sets NETWORK                      NET;Yes
"2C";sets USB(toggle);Yes
"40";sets Universal PORT;Yes
"30";sets MULTI CH;No
"31";sets XM*1;No
"32";sets SIRIUS*1;No
"UP";sets Selector Position Wrap-Around Up;Yes
"DOWN";sets Selector Position Wrap-Around Down;Yes
"QSTN";gets The Selector Position;Yes
*1:Only available XM/SIRIUS Model;;
;;
"SLR" - RECOUT Selector Command ;;
"00";sets VIDEO1;No
"01";sets VIDEO2;No
"02";sets VIDEO3;No
"03";sets VIDEO4;No
"04";sets VIDEO5;No
"05";sets VIDEO6;No
"06";sets VIDEO7;No
"10";sets DVD;No
"20";sets TAPE(1);No
"21";sets TAPE2;No
"22";sets PHONO;No
"23";sets CD;No
"24";sets FM;No
"25";sets AM;No
"26";sets TUNER;No
"27";sets MUSIC SERVER;No
"28";sets INTERNET RADIO;No
"30";sets MULTI CH;No
"31";sets XM;No
"7F";sets OFF;No
"80";sets SOURCE;No
"QSTN";gets The Selector Position;No
*1:REC/ZONE3;;
 "SLA" - Audio Selector Command ;;
"00";sets AUTO;No
"01";sets MULTI-CHANNEL;No
"02";sets ANALOG;Yes
"03";sets iLINK;No
"04";sets HDMI;Yes
"05";sets COAX/OPT;Yes
"06";sets BALANCE;No
"07";sets ARC;Yes
"UP";sets Audio Selector Wrap-Around Up;Yes
"QSTN";gets The Audio Selector Status;Yes
 "TGA" - 12V Trigger A Command ;;
"00";sets 12V Trigger A Off;No
"01";sets 12V Trigger A On;No
 "TGB" - 12V Trigger B Command ;;
"00";sets 12V Trigger B Off;No
"01";sets 12V Trigger B On;No
 "TGC" - 12V Trigger C Command ;;
"00";sets 12V Trigger C Off;No
"01";sets 12V Trigger C On;No
TGA/TGB/TGC are available,when each 12V Trigger parameter is all "OFF" at Setup Menu.;;
 "VOS" - Video Output Selector (Japanese Model Only);;
"00";sets D4;No
"01";sets Component;No
"QSTN";gets The Selector Position;No
 "HDO" - HDMI Output Selector;;
"00";sets No                         Analog;No
"01";sets Yes/Out Main        HDMI Main;No
"02";sets Out Sub                HDMI Sub;No
"03";sets                              Both;No
"04";sets                              Both(Main);No
"05";sets                              Both(Sub);No
"UP";sets HDMI Out Selector Wrap-Around Up;No
"QSTN";gets The HDMI Out Selector;No
*1 except American Model;;
 "HAO" -HDMI Audio Out;;
"00";sets Off;Yes
"01";sets On;Yes
"02";sets Auto;Yes
"UP";sets HDMI Audio Out Wrap-Around Up;Yes
